run,method,accuracy,auroc,f1,trainable_params,train_time_sec
full_finetune_20260427_140615,full_finetune,0.8141025641025641,0.9583333333333333,0.8696629213483146,149622275,33261.78319501877
linear_probe_20260419_185956,linear_probe,0.7724358974358975,0.907506026736796,0.8422222222222222,63822851,10788.790874004364
lora_20260425_205509,lora,0.7387820512820513,0.8057582730659654,0.8271474019088016,65002499,31172.519753456116
lora_20260426_202439,lora,0.7644230769230769,0.9118452772298926,0.8414239482200647,64412675,32736.87462925911
lora_20260428_011701,lora,0.8317307692307693,0.9583497698882314,0.88,64117763,31375.87695336342
zero_shot_20260419_184211,zero_shot,0.6169871794871795,0.5230330922638615,0.7631318136769079,149620737,0.0
